,child,session,trial_num,trial_type,stim_type,confidence,iCatcher_on(s),iCatcher_off(s),parentEnded
182,QdY3DB,,8,testA,pit-bridge,0.0,0.0,5.055,False
183,PMCRP5,,1,fam,pit,0.7454733214541978,14.864,11.484,False
184,PMCRP5,,2,testA,pit,0.8453764052010408,5.568,2.017,False
185,PMCRP5,,3,fam,pit-bridge,0.8349603930668484,14.192,10.383,False
186,PMCRP5,,4,testB,pit-bridge,0.8255953688995313,18.349,15.487,False
187,PMCRP5,,5,fam,barrier-jump,0.8150725120595143,14.406,10.73,False
188,PMCRP5,,6,testB,barrier-jump,0.7770258112104385,0.064,4.832,False
189,PMCRP5,,7,fam,barrier-around,0.7628227334226603,17.662,6.987,False
190,PMCRP5,,8,testA,barrier-around,0.8093810656540831,13.661,3.857,False
191,TX2GSP,,1,fam,pit,0.9242090538323644,27.022,2.47,False
192,TX2GSP,,2,testB,pit,0.921208012861894,32.928,4.906,False
193,TX2GSP,,3,fam,pit-bridge,0.9137711746399628,14.972,2.839,False
194,TX2GSP,,4,testA,pit-bridge,0.91086453208729,41.387,1.34,False
195,TX2GSP,,5,fam,barrier-jump,0.900446539165593,31.505,0.337,False
196,TX2GSP,,6,testA,barrier-jump,0.9182721720326964,43.4,0.799,False
197,TX2GSP,,7,fam,barrier-around,0.8885052508634069,36.546,0.735,False
198,TX2GSP,,8,testB,barrier-around,0.8901419666033149,37.599,4.472,False
199,TX2GSP,,9,fam,pit,0.8982622483725189,31.039,0.0,False
200,TX2GSP,,10,testB,pit,0.8887491929893712,33.487,8.338,False
201,TX2GSP,,11,fam,pit-bridge,0.8825970058943949,11.679,5.735,False
202,TX2GSP,,12,testA,pit-bridge,0.845611192831179,18.162,6.634,False
203,TX2GSP,,13,fam,pit,0.9793280959129332,0.0,0.0,False
204,TX2GSP,,14,testB,pit,0.9677260241338184,0.0,0.0,False
205,TX2GSP,,15,fam,pit-bridge,0.906039973963862,1.784,0.0,False
206,TX2GSP,,16,testA,pit-bridge,0.8285620827674866,1.392,0.0,False
207,TX2GSP,,17,fam,barrier-jump,0.822754864181791,8.305,0.0,False
208,TX2GSP,,18,testA,barrier-jump,0.9763596564531326,2.736,0.0,False
209,TX2GSP,,19,fam,barrier-around,0.7468733164999221,5.289,0.0,False
210,TX2GSP,,20,testB,barrier-around,0.9170709015831114,2.944,0.0,False
211,TX2GSP,,21,fam,pit,0.8325169773205466,8.368,0.0,False
212,TX2GSP,,22,testB,pit,0.8978793882962429,3.008,0.0,False
213,TX2GSP,,23,fam,pit-bridge,0.6358269929885865,4.207,0.673,False
214,TX2GSP,,24,testA,pit-bridge,0.0,0.866,1.618,False
215,5R7JdZ,,1,fam,pit,0.8396261032431195,29.323,0.2,False
216,5R7JdZ,,2,testA,pit,0.8745208914837826,5.743,2.338,False
217,5R7JdZ,,3,fam,pit-bridge,0.870385219290407,17.229,7.145,False
218,5R7JdZ,,4,testB,pit-bridge,0.8476639287454066,10.419,7.144,False
219,5R7JdZ,,5,fam,barrier-jump,0.8933518651576169,29.117,1.269,False
220,5R7JdZ,,6,testB,barrier-jump,0.8834318805705098,28.119,6.746,False
221,5R7JdZ,,7,fam,barrier-around,0.85413952956799,35.331,1.138,False
222,5R7JdZ,,8,testA,barrier-around,0.801533589667272,33.13,7.148,False
223,5R7JdZ,,9,fam,pit,0.9094873070716858,27.718,1.67,False
224,5R7JdZ,,10,testA,pit,0.883257464184696,37.869,4.676,False
225,5R7JdZ,,11,fam,pit-bridge,0.8591567109054435,24.779,3.405,False
226,5R7JdZ,,12,testB,pit-bridge,0.9064303481198372,2.939,2.003,False
227,A2NZTR,,1,fam,pit,0.0,0.0,5.035,False
228,A2NZTR,,2,testB,pit,0.0,0.0,5.039,False
229,A2NZTR,,3,fam,pit-bridge,0.0,0.0,5.042,False
230,A2NZTR,,4,testA,pit-bridge,0.0,0.0,5.045,False
231,A2NZTR,,5,fam,barrier-jump,0.0,0.0,5.038,False
232,A2NZTR,,6,testA,barrier-jump,0.0,0.0,5.042,False
233,A2NZTR,,7,fam,barrier-around,0.0,0.0,5.036,False
234,A2NZTR,,8,testB,barrier-around,0.0,0.0,5.077,False
235,A2NZTR,,9,fam,pit,0.0,0.0,5.042,False
236,A2NZTR,,10,testB,pit,0.0,0.0,5.033,False
237,A2NZTR,,11,fam,pit-bridge,0.0,0.0,5.039,False
238,A2NZTR,,12,testA,pit-bridge,0.0,0.0,5.032,False
239,YPA6WA,,1,fam,pit,0.8454710800072243,3.449,3.4,False
240,YPA6WA,,2,testA,pit,0.931781315301334,7.3,2.202,False
241,YPA6WA,,3,fam,pit-bridge,0.8973654518102078,6.848,2.001,False
242,YPA6WA,,4,testB,pit-bridge,0.8481456201172317,7.248,2.047,False
243,YPA6WA,,5,fam,barrier-jump,0.8414686698054994,31.646,0.364,False
244,YPA6WA,,6,testB,barrier-jump,0.8479169873936663,7.165,2.032,False
245,YPA6WA,,7,fam,barrier-around,0.929498285866108,8.36,2.117,False
246,YPA6WA,,8,testA,barrier-around,0.8360435753732345,3.083,3.843,False
247,Q4KECG,,1,fam,barrier-around,0.8761416497585288,37.872,0.0,False
248,Q4KECG,,2,testB,barrier-around,0.8397676554072366,39.871,2.672,False
249,Q4KECG,,3,fam,barrier-jump,0.8425191524998307,32.4,0.0,False
250,Q4KECG,,4,testA,barrier-jump,0.8541965144811218,39.466,2.496,False
251,Q4KECG,,5,fam,pit-bridge,0.8684106145561095,27.424,1.167,False
252,Q4KECG,,6,testA,pit-bridge,0.8501224168874685,42.544,1.983,False
253,Q4KECG,,7,fam,pit,0.9020065777902628,30.896,0.0,False
254,Q4KECG,,8,testB,pit,0.7917772471745383,15.28,5.393,False
255,Q4KECG,,9,fam,barrier-around,0.8407507971173427,24.256,4.985,False
256,Q4KECG,,10,testB,barrier-around,0.8182238578796387,7.568,2.08,False
257,Q4KECG,,11,fam,barrier-jump,0.92117804992065,2.671,2.736,False
258,Q4KECG,,12,testA,barrier-jump,0.7554728366979738,5.472,2.065,False
259,RQCDM2,,1,fam,barrier-around,0.9301218985218288,18.735,2.03,False
260,RQCDM2,,2,testA,barrier-around,0.8511515051843375,4.239,2.03,False
261,RQCDM2,,3,fam,barrier-jump,0.8316999671229145,0.192,4.712,False
262,RQCDM2,,4,testB,barrier-jump,0.876065303139226,2.397,4.008,False
263,RQCDM2,,5,fam,pit-bridge,0.8569642919197417,13.83,8.512,False
264,RQCDM2,,6,testB,pit-bridge,0.8708050493683134,3.562,3.412,False
265,RQCDM2,,7,fam,pit,0.9176859530535612,0.0,5.036,False
266,RQCDM2,,8,testA,pit,0.794203314781189,0.327,4.477,False
267,5TDY7U,,1,fam,pit-bridge,0.9639263811470574,29.027,0.211,False
268,5TDY7U,,2,testB,pit-bridge,0.9453891614376244,45.033,0.0,False
269,5TDY7U,,3,fam,barrier-around,0.9213988837103048,36.836,0.369,False
270,5TDY7U,,4,testA,barrier-around,0.8752454364299774,10.711,2.079,False
271,5TDY7U,,5,fam,pit,0.8830167919586375,30.985,0.0,False
272,5TDY7U,,6,testA,pit,0.8624644050852914,40.766,2.089,False
273,5TDY7U,,7,fam,barrier-jump,0.823768342333722,30.9,0.065,False
274,5TDY7U,,8,testB,barrier-jump,0.8052030256018042,7.834,2.037,False
275,273QdB,,1,fam,pit-bridge,0.0,0.0,5.066,False
276,273QdB,,2,testB,pit-bridge,0.0,0.0,5.065,False
277,273QdB,,3,fam,barrier-around,0.0,0.0,5.466,False
278,273QdB,,4,testA,barrier-around,0.0,0.0,5.398,False
279,273QdB,,5,fam,pit,0.0,0.0,5.066,False
280,273QdB,,6,testA,pit,0.0,0.0,5.065,False
281,273QdB,,7,fam,barrier-jump,0.0,0.0,5.066,False
282,273QdB,,8,testB,barrier-jump,0.0,0.0,7.26,False
283,TGA6G7,,1,fam,pit,0.856086102048707,25.015,3.797,False
284,TGA6G7,,2,testA,pit,0.8424624687638776,35.749,5.826,False
285,TGA6G7,,3,fam,pit-bridge,0.8829976897490652,28.107,1.206,False
286,TGA6G7,,4,testB,pit-bridge,0.8766856493846494,8.087,2.008,False
287,TGA6G7,,5,fam,barrier-jump,0.8925652055995269,31.387,0.591,False
288,TGA6G7,,6,testB,barrier-jump,0.8503618626825271,12.746,4.801,False
289,TGA6G7,,7,fam,barrier-around,0.8073348483523807,32.081,3.692,False
290,TGA6G7,,8,testA,barrier-around,0.8170442520602932,9.175,2.074,False
291,TGA6G7,,9,fam,pit,0.882766158092679,23.328,2.789,False
292,TGA6G7,,10,testA,pit,0.8549174222982291,11.963,3.696,False
293,TGA6G7,,11,fam,pit-bridge,0.8427602700467379,25.608,2.709,False
294,TGA6G7,,12,testB,pit-bridge,0.7986734053288126,11.378,4.709,False
295,KG3524,,1,fam,pit,0.8929271731111739,28.164,1.405,False
296,KG3524,,2,testB,pit,0.9049614445895564,20.337,3.745,False
297,KG3524,,3,fam,pit-bridge,0.8682642480442146,27.829,1.072,False
298,KG3524,,4,testA,pit-bridge,0.8605308838936118,40.403,2.812,False
299,KG3524,,5,fam,barrier-jump,0.8228161079542977,13.379,2.008,False
300,KG3524,,6,testA,barrier-jump,0.7982851508080804,12.046,8.296,False
301,KG3524,,7,fam,barrier-around,0.8264164449863656,8.096,2.475,False
302,KG3524,,8,testB,barrier-around,0.8015458846376056,17.922,13.381,False
303,H7G3CC,,1,fam,barrier-around,0.8349778179586287,0.928,3.965,False
304,H7G3CC,,2,testA,barrier-around,0.8346715913878546,0.0,5.08,False
305,H7G3CC,,3,fam,barrier-jump,0.8578890062295473,0.787,3.932,False
306,H7G3CC,,4,testB,barrier-jump,0.8942025187222854,0.85,3.987,False
307,H7G3CC,,5,fam,pit-bridge,0.7936554942280054,0.128,4.26,False
308,H7G3CC,,6,testB,pit-bridge,0.8688151900832718,0.855,3.94,False
309,H7G3CC,,7,fam,pit,0.7562832628425799,0.789,4.05,False
310,H7G3CC,,8,testA,pit,0.8022523088888689,0.855,3.954,False
311,H7G3CC,,9,fam,barrier-around,0.5148712396621704,0.924,3.6,False
312,H7G3CC,,10,testA,barrier-around,0.8265005287798968,0.0,5.084,False
313,H7G3CC,,11,fam,barrier-jump,0.8426009306907654,0.935,3.332,False
314,H7G3CC,,12,testB,barrier-jump,0.0,7.325,4.446,False
315,VDFTUD,,1,fam,barrier-around,0.9090730036333412,37.93,0.0,False
